journal,seqid,paper_name,Treatment Variable,Outcome Variable,Instrument,is_falsification,exhibit_reference,"
falsification_type_nco
",test_type_po,falsification_type_nci,test_type_pi,"nc_count
",falsification_type_other,iv_control_in_pi_test
AER,1,Autor 2013, Imports from China,US manufacturing employment,"The rise in Chinese imports that stems from  rising competitiveness in China
  ",TRUE,"Section~4.1, Table~2",TRUE,TRUE,FALSE,FALSE,1,FALSE,
AER,2,Autor 2013," Specialization in routine, low-skill tasks",Workforce polarization,"Commuting zone's industry
 structure in 1950",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,3,Chetty 2016,Randomized moving opportunities to lower-poverty neighborhoods, Children's long-term outcomes,Treatment on Treated specification,TRUE,"Section~II, part~C",TRUE,FALSE,FALSE,FALSE,13,FALSE,
AER,4,Chetty 2014,Value-added teachers,Student future outcomes,Teacher VA estimates ,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,5,Aghion 2013, Institutional ownership,Innovation (patents),"Firms’ addition to
 the S&P 500 index",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,6,Gertler 2015, Monetary policy,"Output
 and inflation"," Surprises around policy
 announcements",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,7,Autor 2020,Exposure to imports from China,Political polarization in the US,"The rise in Chinese imports that stems from  rising competitiveness in China
  ",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,8,Diamond 2016,"Local productivity, amenities and housing demand",Geographical skill sorting,Bartik shocks,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,9,Mertens 2013,Changes in personal vs. corporate taxes , Labor market and expenditure,"Proxy variables for
 structural interes shocks",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,10,"Ashraf and Galor, 2013","Genetic diversity
",Economic development,Migratory distance,TRUE,"Section~IV, part~C, Table~4

",FALSE,FALSE,TRUE,TRUE,4,FALSE,FALSE
AER,11,"Nunn and Qian, 2014",Food-aid supply,Civil conflicts in recipient countries,US lagged wheat provision,TRUE,"Section~IV, Part~F, Table~5",TRUE,TRUE,TRUE,TRUE,11,FALSE,FALSE
AER,12,Nakamura 2014,"Government spending, particularly on military procurement ",Regional economies within a monetary union,"Region's
sensitivity of military spending to national military build-ups.",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,13,Parker 2013,Time-randomized economic stimulus payments,Consumer expenditure in 2008,Indicators for ESP payment receipt,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,14,Hunnels 2013,"Transit time and cost, freight rates, type of product, etc.",Choice of transportation method in international trade , Past freight rates,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,15,Dobbie 2018,Pretrial detention,Subsequent conviction and other defendant outcomes,"Judge leniency
",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,16,"Angrist et al., 2013", Urban charter schools,Student achievements ,Lottery estimates,TRUE,"Online~Appendix, Table~A2
",TRUE,FALSE,FALSE,FALSE,10,FALSE,
AER,17,"Favara and Imbs, 2015",Expansions in mortgage credit,Housing prices,Banks affected by branching deregulations from 1994 to 2005,TRUE,"Table~2, Panel~B",FALSE,FALSE,FALSE,FALSE,1,TRUE,
AER,18,Jessoe 2014, Feedback on electricity usage  via  in-home display (IHD),Electricity demand," Initial
treatment assignment (ToT)",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,19,"Clark and Royer, 2013",Education,Health outcomes,"Participation in the  ROSLA reform,  using the September age threshold",TRUE,Section~III,TRUE,TRUE,FALSE,FALSE,2,FALSE,
AER,20,Autor 2019,"Gender-specific economic stature in the US 

","Marriage, fertility, and children's living circumstances",Exposure to Chinese imports in non-US countries,TRUE,"Online~Appendix, Table~A2
",TRUE,TRUE,FALSE,FALSE,,FALSE,
AER,21,Maestas 2013,Social security disability insurance, Labor supply,Application Examiner leniency,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,22,Looi Kee 2016,"(i) Substitution of domestic for imported materials 

(ii)  Trade and FDI liberalization", China's increasing domestic content in export ,"Exchange rate indices, FDI and upstream
 input tariffs",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,23,"Martin and Yurukoglu, 2017",Slanted news,Voter partisanship,Ordinal positions of news channels in the cable lineup ,TRUE,"Section~C, Table~5, Section~IV, Table~6",TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE
AER,24,Foged 2016,Inflow of low-skilled immigrants,Labor market outcomes of low-skilled natives,Migration inflows via family reunification,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,25,"Carvalho et al., 2016",Financial resources,"Decision-making (measures of
 cognitive function)",Random assignment to before/after-payday samples,TRUE," Online~Appendix,Table~F1",TRUE,FALSE,FALSE,FALSE,24,FALSE,
AER,26,Deryogina 2019,exposure to acute fine particulate matter, Health outcomes among the US elderly,"Changes in daily average wind direction
",TRUE," Online~Appendix,Table~A4",TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE
AER,27,Bettinger 2017,Online college courses, Student success,"(i) Home-to-campus distance 
(ii) Availability
of in-person classes",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,28,"Deming et al., 2014",Public school choices,College enrolment and completion,Lottery assignment,TRUE," Online~Appendix,Table~A2",TRUE,FALSE,FALSE,FALSE,10,FALSE,
AER,29,Maestas 2023,"The fraction
 of ages 60+ in the population",Per-capita GDP,Historical age structure ,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,30,Deschenes 2017,Emission markets," Pollution, defensive investments, and
health outcomes"," Nitrogen Oxides
 Budget Programs (NBP)
",TRUE,"Section~V, part~D, Table~4, Row~4",TRUE,TRUE,FALSE,FALSE,1,FALSE,
AER,31,M. Cotet 2013,Oil wealth,Political violence,"Out-of-region
 natural disasters in oil-producing nations  ",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,32,Ottaviano 2013,"(i) Immigration
(ii) Offshoring", US native-born employment,"Tariffs (MFN, ITA) on
 offshoring",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,33,Criscuolo 2019,Investment subsidies,Employment rates,Changes in the cross-EU policy rules,TRUE,"Section~V, Part~D
",TRUE,TRUE,FALSE,FALSE,1,FALSE,
AER,34,"Dobbie and Song, 2015",Consumer bankruptcy protection,Subsequent outcomes such as employment and earnings,Judge leniency ,TRUE,Appendix~Table~3,TRUE,TRUE,FALSE,FALSE,10,FALSE,
AER,35,"Sampat and Williams, 2019",Patents on human genes,Follow-on research and product development,Patent examiner leniency,TRUE,Section~IV~Part~D,TRUE,TRUE,FALSE,FALSE,,FALSE,
AER,36,Autor 2020,Foreign competition,Domestic innovation," Contemporaneous
 import penetration in other countries. ",TRUE,"
Table~1, Table~2
",TRUE,FALSE,FALSE,FALSE,1,FALSE,
AER,37,Abdulhadiroglu 2020,Different school qualities,"(i) Parent preferences 
(ii) Outcomes for students","(i) Lotteries
 (ii) Unbiased Jackknife
Instrumental Variables (UJIVE) ",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,38,Derenoncourt 2022,Racial composition changes during the great migration,Upward mobility gains in northern US,Variation in industry composition,TRUE,"Section~III, Table~1 ",TRUE,TRUE,FALSE,FALSE,6,FALSE,
AER,39,Lowes 2021,Colonial medical campaigns,"(i) Beliefs about modern medicine 
(ii) Success of modern
health interventions  ","Soil suitability for cassava, relative to millet. ",TRUE,"Section~III, Part~C, Table~4",TRUE,TRUE,FALSE,FALSE,1,FALSE,
AER,40,Mountjoy 2021,Free two-year college tuition programs,Upward mobility,Proximity to a two-year vs. a four-year college,TRUE,Table~4,TRUE,FALSE,FALSE,FALSE,5,FALSE,
AER,41,Moretti 2021,Geographical agglomeration,Productivity,"Expansion of local
 firms outside the cluster",TRUE,Page~31,FALSE,FALSE,TRUE,TRUE,10,FALSE,FALSE
AER,42,Dubois 2020,Soda taxes,Sugar intake among different cohorts,At-home inventory ,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Quarterly,43,"Kirkeboen, Leuven and Mogstad","type of postsecondary education (institution, field, etc)",labor market payoffs,applicants around cutoff,TRUE,Figure~V,TRUE,FALSE,FALSE,FALSE,NA,FALSE,
Quarterly,44,Chodorow-Reich,credit market frictions,employment outcomes,"(i) exposure to Lehman Brothers through the syndicated market

(ii) exposure to mortgage-backed securities through the loading of each bank’s stock return on the ABX index.",TRUE,Table~XI~Section~VI.D,TRUE,TRUE,FALSE,FALSE,2,TRUE,
Quarterly,45,"Aizer and Doyle, 2015",juvenile detention,high school completion and adult recidivism,judge leniency,TRUE,Table~II,TRUE,FALSE,FALSE,FALSE,8,FALSE,
Quarterly,46,"Mian, Rao and Sufi, 2013",changes in household wealth,changes in consumption,housing supply elasticity,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Quarterly,47,"Ponticelli and Alencar, 2016",enforcement (court congestion),financial outcomes to firms,differences in court congestion across otherwise similar neighboring municipalities,TRUE,"Online~Appendix, Table~A.5, Section~A.4",TRUE,TRUE,FALSE,FALSE,2,FALSE,
Quarterly,48,"Bertrand, Kamenica and Pan, 2015",gender income ratio standard,marriage rate,Bartik style insrument,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Quarterly,49,"Boehm and Oberfield, 2020",contract enforcement (court congestion),input sourcing and organizing production,Age of the local High Court,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Quarterly,50,"Nagel, 2016",(i) asset supply changes; (ii) interest rates,liquidity premia of assets,(i) seasonal dummies; (ii) lagged federal funds futures prices,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Quarterly,51,"Coibion, Gorodnichenko and Ropel, 2020",inflation expectations,firm decisions ,randomly assigned information treatment,TRUE,Appendix Table 2,TRUE,FALSE,FALSE,FALSE,,FALSE,
Quarterly,52,"Agan, Doleac and Harvey, 2023",nonviolent misdemeanor prosecution,delinquents' subsequent criminal involvment ,policy change,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Quarterly,53,"Karlan et al., 2014",capital and risk,agricultural investment and incoome of maize farmers,randomized money and insurance grants,TRUE,Table~II,TRUE,FALSE,FALSE,FALSE,10,FALSE,
Quarterly,54,"Akerman, Gaarder and Mogstad, 2015",broadband internet,labor productivity and wage rates,temporal variations in broadband availability due to staged installation,TRUE,Online Appendix Tables B.1 and B.2,FALSE,FALSE,FALSE,FALSE,,TRUE,
Quarterly,55,"Yanagizawa-Drott, 2014",broadcasted content,participation in violence,variation in radio reception,TRUE,table IV,FALSE,FALSE,TRUE,TRUE,1,FALSE,TRUE
Quarterly,56,"Dahl, Kostol and Mogstad, 2014",participation in family welfare program,participation in next generation,judge leniency,TRUE,table I,TRUE,FALSE,FALSE,FALSE,19,TRUE,
Quarterly,57,"Fryer, 2014",implementation of practices from high-performing schools in low-performing ones,student performance,random assignment to treatment schools,TRUE,Online Appendix Tables 14 and 15,TRUE,FALSE,FALSE,FALSE,2,TRUE,
Quarterly,58,"Madestam et al., 2013",protesting,political change,weather conditions (rainfalls),TRUE,"section VI ""Robustness""",FALSE,FALSE,TRUE,TRUE,,TRUE,FALSE
Quarterly,59,"Allcott et al., 2019",income,nutrition health index,price differences that stem from retailers' comparative advantages,TRUE,Online Appendix Table A9,TRUE,FALSE,FALSE,FALSE,,TRUE,
Quarterly,60,"Macchiavello and Morjaria, 2020",competition X weak contract enforcement,market outcomes,suitability for placement of mills ,TRUE,Online Appendix Table B4,TRUE,FALSE,FALSE,FALSE,,FALSE,
Quarterly,61,"Shapiro, 2020",dirty vs. clean industries (industries' overall CO2 emissions),tarrif barriers , direct emissions,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Econometrica,62,"ABDULKADIRO ̆GLU, ANGRIST AND PATHAK, 2014",peer characteristics,value-added school measures,applicants around cutoff who were offered a seat,TRUE,Table A.III,TRUE,FALSE,FALSE,FALSE,6,FALSE,
Econometrica,63,"Manacorda and Tesei, 2020",communication technology,political mobilization,different mobile-phone adaptation rates across areas (due to lightning strikes propensity),TRUE,"Table 5, Appendix Table A.V",TRUE,TRUE,FALSE,FALSE,3,TRUE,
Econometrica,64,"Acemoglu and Restrepo, 2022","(i) Automation technologies
(ii) task displacement",USA wage structure,"Automation proxies (Robot APR,
Machinery, and
Software)",TRUE,Figure 6,FALSE,FALSE,FALSE,FALSE,,TRUE,
Econometrica,65,"Kaplan and Violante, 2014",fiscal stimulus,household consumption,receipt of payment,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Econometrica,66,"Arbatli et al., 2020",population diversity,conflict,migratory distance,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Econometrica,67,"Allen, 2014",importer-exporter information friction (specifically price in origin  country),trade implications (specifically wholesale price in destination country),mean monthly rainfall in origin country (exogeneous productivity shocks),FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Econometrica,68,"Alesina et al., 2021",(i) parent literacy; (ii) 'upward' geographical mobility ,upward intergenerational mobility,historical migration (instruments for geography),FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Econometrica,69,"Caliendo, Dvorkin and Parro, 2019",Imports from China,US labor markets,"imports from China by
other high-income countries ",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Econometrica,70,"Blake, Nosko and Tadelis, 2015",investment in online advertisement,sales,"since the willingness to pay for ads is dependent on the propensity to spend of the buyers, dummies of Time, Region and their interaction use as an IV",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Econometrica,71,"Alfonsi et al., 2020",vocational training (VT) vs. firm-provided training (FT),youth employment,"""we instrument hiring a worker the firm is matched to with treatment assignment.""",TRUE,Table I,TRUE,FALSE,FALSE,FALSE,,FALSE,
JPE,72,"Acemoglu et al., 2019",democracy,GDP,regional democratization waves,FALSE,Table 6,FALSE,FALSE,FALSE,FALSE,5,TRUE,
JPE,73,"Bhuller et al., 2020",imprisonment ,future criminal behavior,judge stringency,TRUE," section II.B, table 1; Section IV",TRUE,FALSE,FALSE,FALSE,16,FALSE,
JPE,74,"Berry, Fischer and Guiteras, 2020",willingness to pay,clean water benefits, Becker-DeGroot-Marschak (BDM) bidding prices,TRUE,"Table 1,  Column 5",TRUE,FALSE,FALSE,FALSE,13,FALSE,
JPE,75,"Chodorow-Reich et al., 2020",labor reallocation,business cycle,a Bartik-style measure of predicted reallocation ,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
JPE,76,"Baker, 2018",income shocks,household consumption,shocks to the employing firm,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
JPE,77,"Acemoglu and Restrepo, 2020",industrial robots,US labor market,penetration of robots in Europe,TRUE,"Table 4, Figure 7",TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE
JPE,78,"Isen et al., 2017",Pollution level in birth year,labor long term outcomes,CAAA regulations,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
JPE,79,"Ito and Zhang, 2020",air purifier prices (willingness to pay),Market Share, distance between manufacturing location and market,TRUE,"Appendix Section A, Appendix Table A.2",FALSE,FALSE,FALSE,FALSE,,TRUE,
JPE,80,"Ashraf et al., 2020",bride price custom and bride price intensity,daughter's education,school construction (instruments for daughter's education),TRUE,"Appendix Table A12 Coluns 5,6",FALSE,FALSE,FALSE,FALSE,,TRUE,
JPE,81,"De La Sierra, 2020",armed melitia,welfare,inroduction of major peace agreement,TRUE,Online Appendix Figure F10,FALSE,FALSE,FALSE,FALSE,,TRUE,
JPE,82,"Gollin and Udry, 2021",misallocation across sectors or firms,TFP (total factor productivity), estimates of the Cobb-Douglas 'alpha',FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
JPE,83,"Fort, Ichino and Zanella, 2020",time in day care in infancy ,inteligence in childhood,admission threshold qualification to day care system,TRUE,Table 2,TRUE,FALSE,FALSE,FALSE,,FALSE,
JPE,84,"Ramey and Zubairy, 2018",low interest rates,US government spending multiplier,"they calculate the multiplier in what they call a ""one-step IV regression""",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
JPE,85,"Fajgelbaum and Redding, 2022",economy integration (railroad access),growth development,"a. path from district to central ports
b. location along historical trade routes",TRUE,Online Appendix Table A.2 columns 3-5,FALSE,FALSE,FALSE,FALSE,,TRUE,
JPE,86,"Di Tella and Schargrodsky, 2013",prison vs. electronic monitoring (EM),criminal recidivism,judge EM rates,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
JPE,87,"Gollin et al., 2021",Increase in crop yields due to Green Revolution,Population and market outcomes, shift-share instrument for yields,TRUE,Appendix Table A7,TRUE,TRUE,FALSE,FALSE,,FALSE,
JPE,88,"Fowlie et al., 2016",emissions regulation,market distortions (market prices),supply side cost shifters (prices in exogeneous markets),FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
JPE,89,"Kosse et al., 2020",social environment (providing children with social mentors),prosicial behavior, random group assignment ,TRUE,Appendix Table A4,TRUE,FALSE,FALSE,FALSE,1,FALSE,
